Produced by;Directed by;Title;Year;Url;image;Url poster
Jonathan Dern, Paul Sabella, Kelly Ward, Mark Young;Paul Sabella;All Dogs Go to Heaven 2;1996;https://en.wikipedia.org/wiki/All_Dogs_Go_to_Heaven_2;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/24706a78b806411a8b35e22912003905;https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/All_dogs_go_to_heaven_two_poster.jpg/220px-All_dogs_go_to_heaven_two_poster.jpg
Dino De Laurentis, Martha Schumacher;Lewis Teague;Cat's Eye;1985;https://en.wikipedia.org/wiki/Cat%27s_Eye_(1985_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/33b750f3addc852d3d6ab56c5fc47f85;https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Cat%27s_Eye_%28poster%29.JPG/220px-Cat%27s_Eye_%28poster%29.JPG
George Albert Smith;George Albert Smith;The Sick Kitten;1903;https://en.wikipedia.org/wiki/The_Sick_Kitten;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/5a4d4737c7d72389ed54b9b3be2ef9eb;https://upload.wikimedia.org/wikipedia/en/a/a0/TheSickKitten.jpg
Fernando de Fuentes, Jose C Garcia de Letona & Jose Luis Massa;Alberto Mar;Top Cat: The Movie;2011;https://en.wikipedia.org/wiki/Top_Cat:_The_Movie;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/b55a4b05d8f2a0cc0294aa9f1ffce044;https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/DonGatoYSuPandilla2011Poster.jpg/220px-DonGatoYSuPandilla2011Poster.jpg
Ron Miller;Norman Tokar;The Cat from Outer Space;1978;https://en.wikipedia.org/wiki/The_Cat_from_Outer_Space;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/86d09335332761ce6dcfac7fc22760f4;https://upload.wikimedia.org/wikipedia/en/thumb/3/38/CatFromOuterSpace.jpg/220px-CatFromOuterSpace.jpg
Albert S. Ruddy;Francis Ford Coppola;The Godfather;1972;https://en.wikipedia.org/wiki/The_Godfather;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/65cff0e1eeef0a16b6ea14bac14c79c6;https://upload.wikimedia.org/wikipedia/en/1/1c/Godfather_ver1.jpg
Barry Jossen;David R. Ellis;Homeward Bound II: Lost in San Francisco;1996;https://en.wikipedia.org/wiki/Homeward_Bound_II:_Lost_in_San_Francisco;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/df1653d8c07cf8d67136c62538b1fa0a;https://upload.wikimedia.org/wikipedia/en/thumb/a/a6/Homeward_bound_ii_lost_in_san_francisco.jpg/220px-Homeward_bound_ii_lost_in_san_francisco.jpg
Alexander Hammid, Maya Deren;Alexander Hammid, Maya Deren;The Private Life of a Cat;1944;https://en.wikipedia.org/wiki/The_Private_Life_of_a_Cat;;?
Denise Di Novi, Edward L. McDonnell;Pitof;Catwoman;2004;https://en.wikipedia.org/wiki/Catwoman_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/a716e02488f950da6321f23f125759a3;https://upload.wikimedia.org/wikipedia/en/0/04/Catwoman_poster.jpg
Aron Warner, John H Williams, David Lipman;Andrew Adamson, Kelly Asbury, Conrad Vernon;Shrek 2;2004;https://en.wikipedia.org/wiki/Shrek_2;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/6b5770e3ba42ec57c0ccab91a51ca9b3;https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Shrek_2_poster.jpg/220px-Shrek_2_poster.jpg
Lisa Ellzey;Barry Sonnenfeld;Nine Lives;2016;https://en.wikipedia.org/wiki/Nine_Lives_(2016_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/5545491e414fa1c8d63aec5b3038130c;https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Nine_Lives_poster.png/220px-Nine_Lives_poster.png
Walt Disney Productions;Winston Hibler, Wolfgang Reitherman;The Aristocats;1970;https://en.wikipedia.org/wiki/The_Aristocats;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/1e781cd472b35e9807b7af236f70a855;https://upload.wikimedia.org/wikipedia/en/8/8d/Aristoposter.jpg
Tim Hill, Jeff Morris;Tim Hill;Grumpy Cat's Worst Christmas Ever;2014;https://en.wikipedia.org/wiki/Grumpy_Cat%27s_Worst_Christmas_Ever;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/a7680c05b6fa780c19329f6806a95d25;https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Grumpy_Cat%27s_Worst_Christmas_Ever_cover.jpg/250px-Grumpy_Cat%27s_Worst_Christmas_Ever_cover.jpg
Clyde Geronimi, Hamilton Luske, Wilfried Jackson;Walt Disney;Cinderella;1950;https://en.wikipedia.org/wiki/Cinderella_(1950_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/090c7df9f957c614b3419b47a0dca8a8;https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Cinderella-disney-poster.jpg/220px-Cinderella-disney-poster.jpg
Walt Disney, Bill Walsh;Robert Stevenson;That Darn Cat!;1965;https://en.wikipedia.org/wiki/That_Darn_Cat!;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/088b9a22b1c7acd79942050ae9a5623a;https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/That_Darn_Cat_-_1965_Poster.jpg/220px-That_Darn_Cat_-_1965_Poster.jpg
Paul Mazursky;Paul Mazursky;Harry and Tonto;1974;https://en.wikipedia.org/wiki/Harry_and_Tonto;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/7026f4e709e576a8144daffced394ea6;https://upload.wikimedia.org/wikipedia/en/d/d9/Harryandtontoposter.jpg
Brian Grazer;Bo Welch;The Cat in the Hat;2003;https://en.wikipedia.org/wiki/The_Cat_in_the_Hat_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/306a05ed73c5b4b2994450484883202c;https://upload.wikimedia.org/wikipedia/en/d/db/Cat_in_the_hat.jpg
Clark Spencer;Chris Williams, Byron Howard;Bolt;2008;https://en.wikipedia.org/wiki/Bolt_(2008_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/d95711386bce6b228c067043995ea2d5;https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Bolt_ver2.jpg/220px-Bolt_ver2.jpg
John Davis;Tim Hill;Garfield: A Tail of Two Kitties;2006;https://en.wikipedia.org/wiki/Garfield:_A_Tail_of_Two_Kitties;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/e819e0eb4fd9baf4930c6ccec9463921;https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Garfield_A_Tail_of_Two_Kitties.jpg/220px-Garfield_A_Tail_of_Two_Kitties.jpg
Walt Disney Productions;Clyde Geronimi, Wilfred Jackson, Hamilton Luske;Alice in Wonderland;1951;https://en.wikipedia.org/wiki/Alice_in_Wonderland_(1951_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/95927ad402087ad09aaa15342b89b060;https://upload.wikimedia.org/wikipedia/en/c/c1/Alice_in_Wonderland_%281951_film%29_poster.jpg
Giuseppe Amato, Angelo Rizzoli;Federico Fellini;La Dolce Vita;1960;https://en.wikipedia.org/wiki/La_Dolce_Vita;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/785f6038320c5af7429a3492829c3244;https://upload.wikimedia.org/wikipedia/en/c/c1/La_Dolce_Vita_%281960_film%29_coverart.jpg
Hayao Miyazaki;Hayao Miyazaki;Kiki's Delivery Service;1989;https://en.wikipedia.org/wiki/Kiki%27s_Delivery_Service;;https://upload.wikimedia.org/wikipedia/en/0/07/Kiki%27s_Delivery_Service_%28Movie%29.jpg
E M Asher;Edgar G Ulmer;The Black Cat;1934;https://en.wikipedia.org/wiki/The_Black_Cat_(1934_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/d7050425df3a0fdfecf4af47692b0f30;https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Black_cat_poster.jpeg/220px-Black_cat_poster.jpeg
Steve Krantz;Ralph Bakshi;Fritz the Cat;1972;https://en.wikipedia.org/wiki/Fritz_the_Cat_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/2fc1e3279b971968cf335d98d2468a1a;https://upload.wikimedia.org/wikipedia/en/7/75/Fritz_the_Cat_%28film%29.jpg
Henry G Saperstein, Lee Orgel;Abe Levitow;Gay Purr-ee;1962;https://en.wikipedia.org/wiki/Gay_Purr-ee;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/b501e890029470f07246b10590a52c3e;https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Gay_Puree_DVD_cover.jpg/220px-Gay_Puree_DVD_cover.jpg
Walt Disney;Don Chaffey;The Three Lives of Thomasina;1964;https://en.wikipedia.org/wiki/The_Three_Lives_of_Thomasina;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/45c7e76bcec202487efd0c91001cf829;https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Threelivesofthomasinamp.jpg/200px-Threelivesofthomasinamp.jpg
Julian Blaustein;Richard Quine;Bell, Book and Candle;1958;https://en.wikipedia.org/wiki/Bell,_Book_and_Candle;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/9bb80fdba49df064f393fb6415cda892;https://upload.wikimedia.org/wikipedia/en/thumb/6/68/Bellbookandcandleposter.jpg/220px-Bellbookandcandleposter.jpg
Hal B. Wallis;Henry Hathaway;True Grit;1969;https://en.wikipedia.org/wiki/True_Grit_(1969_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/64563a884fd977acceb651fb728aadf9;https://upload.wikimedia.org/wikipedia/en/a/a5/Truegritposter.jpg
Chris Meledandri, Janet Healy;Chris Renaud;The Secret Life of Pets;2016;https://en.wikipedia.org/wiki/The_Secret_Life_of_Pets;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/55a359a8cefc53df3b0f6d0199b735b0;https://upload.wikimedia.org/wikipedia/en/6/64/The_Secret_Life_of_Pets_poster.jpg
Orly Adelson, Christina Jennings, Jan Peter Meyboom;Don McBrearty;Ghost Cat;2003;https://en.wikipedia.org/wiki/Ghost_Cat;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/7ad0e92117dae26b7410d2a588319333;https://upload.wikimedia.org/wikipedia/en/d/dd/Ghost_Cat_Poster.jpg
Douglas Wick, Lucy Fisher;Rob Minkoff;Stuart Little 2;2002;https://en.wikipedia.org/wiki/Stuart_Little_2;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/f159e8c242520d90a8ca5947bfb88bc8;https://upload.wikimedia.org/wikipedia/en/5/55/Stuart_Little2_poster.jpg
Bill Bloom, Timothy Campbell, Paul Gertz, David Kirschner;Mark Dindal;Cats Don't Dance;1997;https://en.wikipedia.org/wiki/Cats_Don%27t_Dance;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/846b1a0dcf13e90d11a312655236e996;https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Cats_dont_dance_poster.jpg/220px-Cats_dont_dance_poster.jpg
József Bujtár, Don Oriolo, Janos Schenk, Christian Schneider;Tibor Hernádi;Felix the Cat: The Movie;1988;https://en.wikipedia.org/wiki/Felix_the_Cat:_The_Movie;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/adb3a96512259be56a165c28ba3a6305;https://upload.wikimedia.org/wikipedia/en/e/ef/Felix_the_cat_the_movie.jpg
Marcel Berbert;François Truffaut;Day for Night;1973;https://en.wikipedia.org/wiki/Day_for_Night_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/b21505afc8bb4d0743d7f9882410ba62;https://upload.wikimedia.org/wikipedia/en/thumb/2/20/La_Nuit_oscar.jpg/220px-La_Nuit_oscar.jpg
James Algar, Walt Disney;Fletcher Markle;The Incredible Journey;1963;https://en.wikipedia.org/wiki/The_Incredible_Journey_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/699e65d807f738d4b459a5872edd9aad;https://upload.wikimedia.org/wikipedia/en/b/bc/The_Incredible_Journey.jpg
Mitchell Galin, Richard P Rubinstein;John Harrison;Tales from the Darkside: The Movie;1990;https://en.wikipedia.org/wiki/Tales_from_the_Darkside:_The_Movie;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/92ac6cd3768b52f784bcefc454b42067;https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Talesfromthedarkside.jpg/220px-Talesfromthedarkside.jpg
Steven Haft, David Kirschner;Kenny Ortega;Hocus Pocus;1993;https://en.wikipedia.org/wiki/Hocus_Pocus_(1993_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/0af4ec96dafca3e96c2a318463cab758;https://upload.wikimedia.org/wikipedia/en/thumb/c/c9/Hocuspocusposter.jpg/220px-Hocuspocusposter.jpg
Martin Jurow, Richard Shepherd;Blake Edwards;Breakfast at Tiffany's;1961;https://en.wikipedia.org/wiki/Breakfast_at_Tiffany%27s_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/025aff0d89c73484f004bdb45cf0310e;https://upload.wikimedia.org/wikipedia/en/thumb/a/a9/Breakfast_at_Tiffanys.jpg/215px-Breakfast_at_Tiffanys.jpg
Jon Penington;John Gilling;The Shadow of the cat;1961;https://en.wikipedia.org/wiki/The_Shadow_of_the_Cat;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/b7d765ea9856400be1b6939c57550f85;https://upload.wikimedia.org/wikipedia/en/9/96/Shadow-of-the-cat-poster.jpg
Michael Grais, Mark Victor, Dimitri Logothetis, Nabeel Zahid;Mick Garris;Sleepwalkers;1992;https://en.wikipedia.org/wiki/Sleepwalkers_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/869b871e3f571612d080aec75623510c;https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Sleepwalkers.jpg/220px-Sleepwalkers.jpg
Jim Cox, Tim Disney, James Mangold;George Scribner;Oliver & Company;1988;https://en.wikipedia.org/wiki/Oliver_%26_Company;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/1cf55085fb3819ec3472a7bbbe34c2f1;https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Oliver_poster.jpg/220px-Oliver_poster.jpg
Latifa Ouaou, Joe M. Aguilar;Chris Miller;Puss in Boots;2011;https://en.wikipedia.org/wiki/Puss_in_Boots_(2011_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/3b5d8706393c4ac3c8c75dd4613c1d15;https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/Puss_in_Boots_Poster.jpg/220px-Puss_in_Boots_Poster.jpg
Bernard Schwartz, Philip Hazelton;David Lowell Rich;Eye of the Cat;1969;https://en.wikipedia.org/wiki/Eye_of_the_Cat;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/36a53f1a0b78999ad7b93c9ed12646b2;https://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Eyeofthecatposter.jpg/220px-Eyeofthecatposter.jpg
Toshio Suzuki, Nozomu Takahashi;Hiroyuki Morita;The Cat Returns;2002;https://en.wikipedia.org/wiki/The_Cat_Returns;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/34e89f63d2dc0802fcb53a7313fa8171;https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Cat_Returns.jpg/220px-Cat_Returns.jpg
Douglas Wick;Rob Minkoff;Stuart Little;1999;https://en.wikipedia.org/wiki/Stuart_Little_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/e39a81af94b4a6007b70ac37f9458f82;https://upload.wikimedia.org/wikipedia/en/9/96/Stuart_Little.jpg
Jeffrey Chernov, Franklin R. Levy (Walt Disney Pictures);Duwayne Dunham;Homeward Bound: The Incredible Journey;1993;https://en.wikipedia.org/wiki/Homeward_Bound:_The_Incredible_Journey;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/5c8bb000272d8ee234fbb86a5c7999ab;https://upload.wikimedia.org/wikipedia/en/d/df/Homeward.bound_dvd_cover.jpg
Masuru Kakutani, Satoru Ogata;Masanori Hata;The Adventures of Milo & Otis;1986;https://en.wikipedia.org/wiki/The_Adventures_of_Milo_and_Otis;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/8a3a970e2875d211af5db32262d582eb;https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Koneko_Monogatari_poster.jpg/220px-Koneko_Monogatari_poster.jpg
René Dupont, Milton Subotsky;Claude Héroux;The Uncanny;1977;https://en.wikipedia.org/wiki/The_Uncanny_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/b23ad66a95a30b58ed436352b2862a7c;https://upload.wikimedia.org/wikipedia/en/0/03/The_Uncanny.jpg
Jordan Peel, Keegan-Michael Key, Peter Principato, Paul Young, Joel Zadak;Peter Atencio;Keanu;2016;https://en.wikipedia.org/wiki/Keanu_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/b57f00e88240e698a4d38bd28a6e9d00;https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Keanu_poster.png/220px-Keanu_poster.png
Val Lewton;Jacques Tourneur;Cat People;1942;https://en.wikipedia.org/wiki/Cat_People_(1942_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/96c2cc3fe0d6d48682ee139a3325922b;https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Cat_People_poster.png/220px-Cat_People_poster.png
Gordon Carroll, David Giler, Walter Hill;Ridley Scott;Alien;1979;https://en.wikipedia.org/wiki/Alien_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/3d81906cf0f5ab5b417d01daa1cdc4f4;https://upload.wikimedia.org/wikipedia/en/c/c3/Alien_movie_poster.jpg
Jo Hahn, Hanno Huth, Michael Schaack, Stefaan Schieder;Michael Schaack;Felidae;1994;https://en.wikipedia.org/wiki/Felidae_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/beae90fb948e0b54227b3ae50277812d;https://upload.wikimedia.org/wikipedia/en/4/4b/Felidae_moviecover.jpg
Ed Jones, Christopher de Faria, Andrew Lazar, Craig Perry, Warren Zide;Lawrence Guterman;Cats & Dogs;2001;https://en.wikipedia.org/wiki/Cats_%26_Dogs;;https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/Cats_%26_Dogs_film.jpg/220px-Cats_%26_Dogs_film.jpg
Andrew Lazar, Polly, Greg Michael, Brent O'Connor;Brad Peyton;Cats & Dogs: The Revenge of Kitty Galore;2010;https://en.wikipedia.org/wiki/Cats_%26_Dogs:_The_Revenge_of_Kitty_Galore;;https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Cats_and_dogs_the_revenge_of_kitty_galore_poster.jpg/220px-Cats_and_dogs_the_revenge_of_kitty_galore_poster.jpg
Jan Blenkin, John S Lyons, Eric McLeod, Demi Moore, Mike Myers;Jay Roach;Austin Powers: The Spy Who Shagged Me;1999;https://en.wikipedia.org/wiki/Austin_Powers:_The_Spy_Who_Shagged_Me;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/2093048baf50697264eb4a216f1e179e;https://upload.wikimedia.org/wikipedia/en/f/ff/Austin_Powers-_The_Spy_Who_Shagged_Me.jpg
John Davis;Peter Hewitt;Garfield: The Movie;2004;https://en.wikipedia.org/wiki/Garfield:_The_Movie;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/181eb35384de2788041ac530e675cb64;https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Garfield_ver6.jpg/220px-Garfield_ver6.jpg
Walt Disney;Ben Sharpsteen, Hamilton Luske;Pinocchio;1940;https://en.wikipedia.org/wiki/Pinocchio_(1940_film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/13650c33a0733fcbd4a1ab4bd1d93ae8;https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Pinocchio-1940-poster.jpg/220px-Pinocchio-1940-poster.jpg
Wolfgang Reitherman, Ron W Miller;Wolfgang Reitherman,  John Lounsbery, Art Stevens;The Rescuers;1977;https://en.wikipedia.org/wiki/The_Rescuers;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/ed340a96de31130206dc779201635e37;https://upload.wikimedia.org/wikipedia/en/a/ac/Rescuersposter.jpg
Alain Gagnol;Alain Gagnol, Jean-Loup Felicioli;Une vie de chat;2010;https://fr.wikipedia.org/wiki/Une_vie_de_chat;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/689c30ca51ee5f41ed62f972c25a9253;https://upload.wikimedia.org/wikipedia/fr/thumb/e/e7/UneVieDeChat.jpg/220px-UneVieDeChat.jpg
Richard P Rubinstein;Mary Lambert;Pet Semetary;1989;https://en.wikipedia.org/wiki/Pet_Sematary_(film);https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/0f04aa5c54447e1630d8ccb9a98225ab;https://upload.wikimedia.org/wikipedia/en/thumb/7/75/Pet_sematary_poster.jpg/220px-Pet_sematary_poster.jpg
Walt Disney;Clyde Geronimi, Wilfred Jackson, Hamilton Luske;Lady and the Tramp;1955;https://en.wikipedia.org/wiki/Lady_and_the_Tramp;https://data.opendatasoft.com/api/v2/catalog/datasets/cats-in-movies@public/files/ff3f7b84475f62699b0cbf5beb240efe;https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Lady-and-tramp-1955-poster.jpg/220px-Lady-and-tramp-1955-poster.jpg
